MDXfind algo	hashes.org algo
MD5-MD5SALTMD5PASS	MYBB
MD5-MD5SALTMD5PASS	IPB
MD5PASSSALT	JOOMLA
MD5PASSSALT	WORDPRESS
MD4	MD4
MD5	MD5
MD5PASSSALT	MD5(PLAINSALT)
MD5-PASS-MD5SALT	MD5(PLAINMD5(SALT))
MD5SALTPASS	MD5(SALTPLAIN)
MD5SALTPASSSALT	MD5(SALTPLAINSALT)
MD5SALTMD5PASS	MD5(SALTMD5(PLAIN))
MD5-SALTMD5PASSSALT	MD5(SALTMD5(PLAINSALT))
MD5-SALTMD5SALTPASS	MD5(SALTMD5(SALTPLAIN))
MD5	MD5X2
MD5-MD5PASS-SALT	VBULLETIN
MD5-MD5PASSMD5SALT	MD5(MD5(PLAIN)MD5(SALT))
MD5-MD5SALT-PASS	MD5(MD5(SALT)PLAIN)
MD5	MD5X3
MD5	MD5X4
MD5	MD5X5
MD5SHA1	MD5SHA1
MD5SHA1SHA1	MD5SHA1X2
MD5SHA256	MD5SHA256
MD5UC	MD5UCMD5
SQL5	MYSQL5
NTLM	NTLM
MD5SALTPASS	OSCOMMERCE
RADMIN2	RADMIN2
SHA1	SHA1
SHA1PASSSALT	SHA1(PLAINSALT)
SHA1SALTPASS	SHA1(SALTPLAIN)
SHA1SALTPASSSALT	SHA1(SALTPLAINSALT)
SHA1MD5	SHA1MD5
SHA1MD5MD5	SHA1MD5X2
SHA1	SHA1X2
SHA1	SHA1X3
SHA1	CUT0-32SHA1
SHA256	SHA256
SHA256PASSSALT	SHA256(PLAINSALT)
SHA256SALTPASS	SHA256(SALTPLAIN)
SHA512	SHA512
SHA512PASSSALT	SHA512(PLAINSALT)
SHA512SALTPASS	SHA512(SALTPLAIN)
SMF	SHA1(SALTPLAIN)
MD5SALT	VBULLETIN
PHPBB3	PHPBB3
SHA224	SHA224
WRL	WRL
NULL	PLAIN
LM	LM
MD5	CUTn-16MD5
BCRYPT	BCRYPT
MD5CRYPT	MD5CRYPT
SQL3	MYSQL3
MD2	MD2
APR1	MD5APR1
SHA256CRYPT	SHA256CRYPT
SHA512CRYPT	SHA512CRYPT
SHA384	SHA384
RMD128	RIPEMD128
RMD160	RIPEMD160
MD5dcab	DCAB-MD5
MD5bcad	BCAD-MD5
MD5RAW	MD5RAWMD5
MD5revMD5	MD5REVMD5
TTH	TTH-HEX
GOST	GOST
GOST-CRYPTO	GOST-CRYPTO
TIGER	TIGER192-3
MD5RAWUC	MD5UCMD5RAWMD5
MD5-LMNTLM	MD5(LM(PLAIN)NTLM(PLAIN))
APACHE-SHA	NSLDAP
HAS160	HAS-160
EDON256	EDON256
EDON512	EDON512
BLAKE224	BLAKE224
BLAKE256	BLAKE256
BLAKE384	BLAKE384
BLAKE512	BLAKE512
BMW224	BMW224
BMW256	BMW256
BMW384	BMW384
BMW512	BMW512
CUBE224	CUBE224
CUBE256	CUBE256
CUBE384	CUBE384
CUBE512	CUBE512
ECHO224	ECHO224
ECHO256	ECHO256
ECHO384	ECHO384
ECHO512	ECHO512
FUGUE224	FUGUE224
FUGUE256	FUGUE256
FUGUE384	FUGUE384
FUGUE512	FUGUE512
GROESTL224	GROESTL224
GROESTL256	GROESTL256
GROESTL384	GROESTL384
GROESTL512	GROESTL512
HAMSI224	HAMSI224
HAMSI256	HAMSI256
HAMSI384	HAMSI384
HAMSI512	HAMSI512
JH224	JH224
JH256	JH256
JH384	JH384
JH512	JH512
KECCAK224	KECCAK224
KECCAK256	KECCAK256
KECCAK384	KECCAK384
KECCAK512	KECCAK512
SHA3-224	SHA3-224
SHA3-256	SHA3-256
SHA3-384	SHA3-384
SHA3-512	SHA3-512
LUFFA224	LUFFA224
LUFFA256	LUFFA256
LUFFA384	LUFFA384
LUFFA512	LUFFA512
PANAMA	PANAMA
RADIOGATUN32	RADIOGATUN32
RADIOGATUN64	RADIOGATUN64
SHABAL224	SHABAL224
SHABAL256	SHABAL256
SHABAL384	SHABAL384
SHABAL512	SHABAL512
SHAVITE224	SHAVITE224
SHAVITE256	SHAVITE256
SHAVITE384	SHAVITE384
SHAVITE512	SHAVITE512
SIMD224	SIMD224
SIMD256	SIMD256
SIMD384	SIMD384
SIMD512	SIMD512
SKEIN224	SKEIN224
SKEIN256	SKEIN256
SKEIN384	SKEIN384
SKEIN512	SKEIN512
TIGER2	TIGER2
WRL0	WRL0
WLR1	WLR1
